re,ang,A,L,wnum,structure,fuzhi
6,11,0.001,0.01,5,rec,0.00020754300000000014
11,11,0.001,0.01,5,rec,0.00025615000000000013
16,11,0.001,0.01,5,rec,0.00033175
21,11,0.001,0.01,5,rec,0.0004420800000000001
26,11,0.001,0.01,5,rec,0.000609
31,11,0.001,0.01,5,rec,0.0007476200000000003
36,11,0.001,0.01,5,rec,0.0008087400000000001
41,11,0.001,0.01,5,rec,0.0006793699999999999
46,11,0.001,0.01,5,rec,0.0004933299999999999
51,11,0.001,0.01,5,rec,0.0003711000000000001
56,11,0.001,0.01,5,rec,0.00028592000000000027
61,11,0.001,0.01,5,rec,0.00023492999999999995
66,11,0.001,0.01,5,rec,0.0001990500000000001
71,11,0.001,0.01,5,rec,0.00017350000000000004
76,11,0.001,0.01,5,rec,0.00015313999999999996
81,11,0.001,0.01,5,rec,0.0001376200000000002
86,11,0.001,0.01,5,rec,0.00012562000000000033
91,11,0.001,0.01,5,rec,0.00011553999999999991
96,11,0.001,0.01,5,rec,0.00010683000000000003
1,11,0.002,0.01,5,rec,0.00020870300000000002
6,11,0.002,0.01,5,rec,0.0002191929999999999
11,11,0.002,0.01,5,rec,0.00026093999999999987
16,11,0.002,0.01,5,rec,0.00032357999999999996
21,11,0.002,0.01,5,rec,0.00041704999999999997
26,11,0.002,0.01,5,rec,0.0005757199999999998
31,11,0.002,0.01,5,rec,0.0007297299999999998
36,11,0.002,0.01,5,rec,0.0007848499999999999
41,11,0.002,0.01,5,rec,0.0006341100000000002
46,11,0.002,0.01,5,rec,0.00044224999999999993
51,11,0.002,0.01,5,rec,0.00031130999999999997
56,11,0.002,0.01,5,rec,0.00023806999999999995
61,11,0.002,0.01,5,rec,0.00019127000000000033
66,11,0.002,0.01,5,rec,0.00016061999999999977
71,11,0.002,0.01,5,rec,0.00013758
76,11,0.002,0.01,5,rec,0.00011918999999999992
81,11,0.002,0.01,5,rec,0.00010535999999999966
86,11,0.002,0.01,5,rec,9.484000000000012e-05
91,11,0.002,0.01,5,rec,8.642999999999975e-05
96,11,0.002,0.01,5,rec,7.916999999999993e-05
1,11,0.003,0.01,5,rec,0.00020890200000000007
6,11,0.003,0.01,5,rec,0.00021757000000000005
11,11,0.003,0.01,5,rec,0.0002537099999999999
16,11,0.003,0.01,5,rec,0.00031225000000000003
21,11,0.003,0.01,5,rec,0.00039948
26,11,0.003,0.01,5,rec,0.0005506399999999998
31,11,0.003,0.01,5,rec,0.0007033199999999999
36,11,0.003,0.01,5,rec,0.0007363300000000001
41,11,0.003,0.01,5,rec,0.0005595300000000001
46,11,0.003,0.01,5,rec,0.0003907299999999997
51,11,0.003,0.01,5,rec,0.0002737299999999998
56,11,0.003,0.01,5,rec,0.0002101099999999999
61,11,0.003,0.01,5,rec,0.00016922999999999981
66,11,0.003,0.01,5,rec,0.00014177999999999977
71,11,0.003,0.01,5,rec,0.00012078999999999996
76,11,0.003,0.01,5,rec,0.00010442000000000003
81,11,0.003,0.01,5,rec,9.247999999999982e-05
86,11,0.003,0.01,5,rec,8.339000000000003e-05
91,11,0.003,0.01,5,rec,7.560999999999983e-05
96,11,0.003,0.01,5,rec,6.910999999999983e-05
1,11,0.004,0.01,5,rec,0.00020900400000000005
6,11,0.004,0.01,5,rec,0.00021557900000000003
11,11,0.004,0.01,5,rec,0.00025172
16,11,0.004,0.01,5,rec,0.0003095700000000001
21,11,0.004,0.01,5,rec,0.00039645
26,11,0.004,0.01,5,rec,0.0005468099999999998
31,11,0.004,0.01,5,rec,0.0006937299999999998
36,11,0.004,0.01,5,rec,0.0007168199999999997
41,11,0.004,0.01,5,rec,0.00054151
46,11,0.004,0.01,5,rec,0.00037637999999999994
51,11,0.004,0.01,5,rec,0.00026542000000000015
56,11,0.004,0.01,5,rec,0.00020398999999999981
61,11,0.004,0.01,5,rec,0.00016452000000000003
66,11,0.004,0.01,5,rec,0.00013769999999999971
71,11,0.004,0.01,5,rec,0.00011737999999999983
76,11,0.004,0.01,5,rec,0.0001018299999999998
81,11,0.004,0.01,5,rec,9.007999999999976e-05
86,11,0.004,0.01,5,rec,8.114999999999989e-05
91,11,0.004,0.01,5,rec,7.383999999999993e-05
96,11,0.004,0.01,5,rec,6.771000000000034e-05
