re,ang,A,L,wnum,structure,yintensity_surface
6,11,0.001,0.01,5,tri,0.003763216864772715
11,11,0.001,0.01,5,tri,0.0073086935518809
16,11,0.001,0.01,5,tri,0.012448494038111903
21,11,0.001,0.01,5,tri,0.019569442930188575
26,11,0.001,0.01,5,tri,0.030084685928861866
31,11,0.001,0.01,5,tri,0.039379431427331725
36,11,0.001,0.01,5,tri,0.042495746103603634
41,11,0.001,0.01,5,tri,0.03756059988425931
46,11,0.001,0.01,5,tri,0.03206523416624688
51,11,0.001,0.01,5,tri,0.027880258785340322
56,11,0.001,0.01,5,tri,0.02476030314214657
61,11,0.001,0.01,5,tri,0.0223044305646739
66,11,0.001,0.01,5,tri,0.020469555615819215
71,11,0.001,0.01,5,tri,0.018918484629943406
76,11,0.001,0.01,5,tri,0.017643621526470653
81,11,0.001,0.01,5,tri,0.01654372499117647
86,11,0.001,0.01,5,tri,0.015583173426625402
91,11,0.001,0.01,5,tri,0.015525890987460782
96,11,0.001,0.01,5,tri,0.014887798113636372
1,11,0.002,0.01,5,tri,0.0019348906096223846
6,11,0.002,0.01,5,tri,0.005715901745728578
11,11,0.002,0.01,5,tri,0.010308456774213845
16,11,0.002,0.01,5,tri,0.01701619479020967
21,11,0.002,0.01,5,tri,0.02445437509245286
26,11,0.002,0.01,5,tri,0.034615118721774536
31,11,0.002,0.01,5,tri,0.04400646901720436
36,11,0.002,0.01,5,tri,0.0588502535033259
41,11,0.002,0.01,5,tri,0.06529755802540417
46,11,0.002,0.01,5,tri,0.056702204275000036
51,11,0.002,0.01,5,tri,0.04237814598445594
56,11,0.002,0.01,5,tri,0.036569289634464736
61,11,0.002,0.01,5,tri,0.030502530487804786
66,11,0.002,0.01,5,tri,0.026511843305084708
71,11,0.002,0.01,5,tri,0.023636802931034546
76,11,0.002,0.01,5,tri,0.02168561676646705
81,11,0.002,0.01,5,tri,0.01997717229705878
86,11,0.002,0.01,5,tri,0.01863143779141104
91,11,0.002,0.01,5,tri,0.017622294055727523
96,11,0.002,0.01,5,tri,0.016651686416666655
1,11,0.003,0.01,5,tri,0.0016729845535495042
6,11,0.003,0.01,5,tri,0.007139822028176084
11,11,0.003,0.01,5,tri,0.010886477763239878
16,11,0.003,0.01,5,tri,0.017929591332167826
21,11,0.003,0.01,5,tri,0.02462285921886801
26,11,0.003,0.01,5,tri,0.033019026890243705
31,11,0.003,0.01,5,tri,0.040934091549569014
36,11,0.003,0.01,5,tri,0.048121623548889055
41,11,0.003,0.01,5,tri,0.07320445472477068
46,11,0.003,0.01,5,tri,0.052854601415616854
51,11,0.003,0.01,5,tri,0.038085623256476644
56,11,0.003,0.01,5,tri,0.029553136932467586
61,11,0.003,0.01,5,tri,0.02485704299184806
66,11,0.003,0.01,5,tri,0.0220035559887006
71,11,0.003,0.01,5,tri,0.020621437231638368
76,11,0.003,0.01,5,tri,0.019027876461764685
81,11,0.003,0.01,5,tri,0.01779380188235287
86,11,0.003,0.01,5,tri,0.016775940788343664
91,11,0.003,0.01,5,tri,0.01581312733333339
96,11,0.003,0.01,5,tri,0.015068974275080934
1,11,0.004,0.01,5,tri,0.0020924641982172807
6,11,0.004,0.01,5,tri,0.007316105849968681
11,11,0.004,0.01,5,tri,0.011082643813084181
16,11,0.004,0.01,5,tri,0.017821609991258675
21,11,0.004,0.01,5,tri,0.024622478928924697
26,11,0.004,0.01,5,tri,0.032728937024390135
31,11,0.004,0.01,5,tri,0.04000833181034467
36,11,0.004,0.01,5,tri,0.04626225302643174
41,11,0.004,0.01,5,tri,0.05586422724770647
46,11,0.004,0.01,5,tri,0.059725622406948224
51,11,0.004,0.01,5,tri,0.04085477973246754
56,11,0.004,0.01,5,tri,0.035537560159382975
61,11,0.004,0.01,5,tri,0.03479113177333322
66,11,0.004,0.01,5,tri,0.029276862695774654
71,11,0.004,0.01,5,tri,0.024917026999999838
76,11,0.004,0.01,5,tri,0.022536719465875377
81,11,0.004,0.01,5,tri,0.02014795896142439
86,11,0.004,0.01,5,tri,0.017798090207430405
91,11,0.004,0.01,5,tri,0.016246965656346774
96,11,0.004,0.01,5,tri,0.014869941572815485
