re,ang,A,L,wnum,structure,yspeed
6,11,0.001,0.01,5,tri,0.0044864625
11,11,0.001,0.01,5,tri,0.008817278750000001
16,11,0.001,0.01,5,tri,0.01886486
21,11,0.001,0.01,5,tri,0.03425065
26,11,0.001,0.01,5,tri,0.042284846153846166
31,11,0.001,0.01,5,tri,0.0643714
36,11,0.001,0.01,5,tri,0.03342908181818182
41,11,0.001,0.01,5,tri,-0.000631815
46,11,0.001,0.01,5,tri,-0.01126276
51,11,0.001,0.01,5,tri,-0.013524345
56,11,0.001,0.01,5,tri,-0.0079554125
61,11,0.001,0.01,5,tri,-0.010501
66,11,0.001,0.01,5,tri,-0.01379005
71,11,0.001,0.01,5,tri,-0.0123415
81,11,0.001,0.01,5,tri,-0.0175496
86,11,0.001,0.01,5,tri,-0.01818015
91,11,0.001,0.01,5,tri,-0.0194814
96,11,0.001,0.01,5,tri,-0.0210464
1,11,0.002,0.01,5,tri,-0.0004958864285714287
6,11,0.002,0.01,5,tri,0.010537869999999998
11,11,0.002,0.01,5,tri,0.009676049999999999
16,11,0.002,0.01,5,tri,0.017297775
21,11,0.002,0.01,5,tri,0.0386999
26,11,0.002,0.01,5,tri,0.0312517375
31,11,0.002,0.01,5,tri,0.069263
36,11,0.002,0.01,5,tri,0.0913991
41,11,0.002,0.01,5,tri,-0.017424539999999995
46,11,0.002,0.01,5,tri,-0.0037834850000000005
51,11,0.002,0.01,5,tri,-0.020462500000000005
56,11,0.002,0.01,5,tri,-0.014663306249999999
61,11,0.002,0.01,5,tri,-0.02441135
66,11,0.002,0.01,5,tri,-0.0269227
71,11,0.002,0.01,5,tri,-0.034209562500000006
76,11,0.002,0.01,5,tri,-0.023723249999999994
81,11,0.002,0.01,5,tri,-0.027354375000000004
86,11,0.002,0.01,5,tri,-0.0301338
91,11,0.002,0.01,5,tri,-0.0259455
1,11,0.003,0.01,5,tri,0.0008683570000000002
6,11,0.003,0.01,5,tri,0.006797855
11,11,0.003,0.01,5,tri,0.00678491090909091
16,11,0.003,0.01,5,tri,0.0173613
21,11,0.003,0.01,5,tri,0.042810600000000004
26,11,0.003,0.01,5,tri,0.0470547
31,11,0.003,0.01,5,tri,0.054638
36,11,0.003,0.01,5,tri,0.06774485000000001
41,11,0.003,0.01,5,tri,0.013668800000000002
46,11,0.003,0.01,5,tri,0.003012250000000002
51,11,0.003,0.01,5,tri,-0.024067049999999996
56,11,0.003,0.01,5,tri,-0.015861993749999997
61,11,0.003,0.01,5,tri,-0.040324650000000004
66,11,0.003,0.01,5,tri,-0.0370805875
71,11,0.003,0.01,5,tri,-0.028420450000000003
76,11,0.003,0.01,5,tri,-0.03593395
81,11,0.003,0.01,5,tri,-0.03271885
91,11,0.003,0.01,5,tri,-0.034499300000000004
96,11,0.003,0.01,5,tri,-0.0349609
1,11,0.004,0.01,5,tri,0.003118132941176471
6,11,0.004,0.01,5,tri,0.013977250000000002
11,11,0.004,0.01,5,tri,0.006596739999999999
16,11,0.004,0.01,5,tri,0.022054125
21,11,0.004,0.01,5,tri,0.0409565
26,11,0.004,0.01,5,tri,0.0478976
31,11,0.004,0.01,5,tri,0.013875076923076922
36,11,0.004,0.01,5,tri,0.07629723636363635
41,11,0.004,0.01,5,tri,-0.0021729375000000013
46,11,0.004,0.01,5,tri,0.010235812499999998
51,11,0.004,0.01,5,tri,-0.037061949999999996
56,11,0.004,0.01,5,tri,0.0680764
61,11,0.004,0.01,5,tri,-0.0488106
66,11,0.004,0.01,5,tri,-0.04322770000000001
71,11,0.004,0.01,5,tri,-0.119842
76,11,0.004,0.01,5,tri,-0.06584085
81,11,0.004,0.01,5,tri,-0.0422492
86,11,0.004,0.01,5,tri,-0.0380148875
91,11,0.004,0.01,5,tri,-0.03749957499999999
96,11,0.004,0.01,5,tri,-0.029628025000000002
